,predictor,AIC
0,sexp,311352.54858890024
1,sexp,311303.9359700548
2,sexp,311313.2368085147
3,sexp,311282.19296043715
4,['ageph' 'lat' 'long' 'fuelc'],311379.8471872211
5,['ageph' 'lat' 'long' 'split'],311222.1824948035
6,['ageph' 'lat' 'long' 'fleetc'],311339.0361329432
7,['ageph' 'lat' 'long' 'sportc'],311258.15995285654
8,['ageph' 'lat' 'long' 'coverp'],311276.4838856747
9,['ageph' 'lat' 'long' 'powerc'],311211.2585543664
10,['ageph' 'lat' 'long' 'agecar' 'usec'],311262.33171753923
11,['ageph' 'lat' 'long' 'agecar' 'sexp'],311246.7996080645
12,['ageph' 'lat' 'long' 'agecar' 'fuelc'],311327.11250301724
13,['ageph' 'lat' 'long' 'agecar' 'split'],311145.4503017683
14,['ageph' 'lat' 'long' 'agecar' 'fleetc'],311290.265714263
15,['ageph' 'lat' 'long' 'agecar' 'sportc'],311202.9203527545
16,['ageph' 'lat' 'long' 'agecar' 'coverp'],311207.8750716717
17,['ageph' 'lat' 'long' 'agecar' 'powerc'],311173.14649242646
18,['ageph' 'lat' 'long' 'usec' 'sexp'],311248.057445358
19,['ageph' 'lat' 'long' 'usec' 'fuelc'],311340.0855546288
20,['ageph' 'lat' 'long' 'usec' 'split'],311195.1791164662
21,['ageph' 'lat' 'long' 'usec' 'fleetc'],311312.2402743612
22,['ageph' 'lat' 'long' 'usec' 'sportc'],311218.5159346264
23,['ageph' 'lat' 'long' 'usec' 'coverp'],311227.1807669362
24,['ageph' 'lat' 'long' 'usec' 'powerc'],311184.3202522686
25,['ageph' 'lat' 'long' 'sexp' 'fuelc'],311309.1417738619
26,['ageph' 'lat' 'long' 'sexp' 'split'],311154.430960156
27,['ageph' 'lat' 'long' 'sexp' 'fleetc'],311268.86637150066
28,['ageph' 'lat' 'long' 'sexp' 'sportc'],311171.8748540961
29,['ageph' 'lat' 'long' 'sexp' 'coverp'],311238.5365529668
30,['ageph' 'lat' 'long' 'sexp' 'powerc'],311157.5443884322
31,['ageph' 'lat' 'long' 'fuelc' 'split'],311248.50027137634
32,['ageph' 'lat' 'long' 'fuelc' 'fleetc'],311367.67943326203
33,['ageph' 'lat' 'long' 'fuelc' 'sportc'],311283.42813126923
34,['ageph' 'lat' 'long' 'fuelc' 'coverp'],311291.83696476114
35,['ageph' 'lat' 'long' 'fuelc' 'powerc'],311235.80609477224
36,['ageph' 'lat' 'long' 'split' 'fleetc'],311214.14394613856
37,['ageph' 'lat' 'long' 'split' 'sportc'],311121.6065544545
38,['ageph' 'lat' 'long' 'split' 'coverp'],311145.15362255886
39,['ageph' 'lat' 'long' 'split' 'powerc'],311091.4070398806
40,['ageph' 'lat' 'long' 'fleetc' 'sportc'],311246.088824794
41,['ageph' 'lat' 'long' 'fleetc' 'coverp'],311255.6926066567
42,['ageph' 'lat' 'long' 'fleetc' 'powerc'],311206.34570149856
43,['ageph' 'lat' 'long' 'sportc' 'coverp'],311095.4178320599
44,['ageph' 'lat' 'long' 'sportc' 'powerc'],311163.4543664568
45,['ageph' 'lat' 'long' 'coverp' 'powerc'],311211.569133129
46,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp'],311210.3610042169
47,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc'],311283.07670790027
48,['ageph' 'lat' 'long' 'agecar' 'usec' 'split'],311118.88252138626
49,['ageph' 'lat' 'long' 'agecar' 'usec' 'fleetc'],311261.7350478284
50,['ageph' 'lat' 'long' 'agecar' 'usec' 'sportc'],311160.73894646775
51,['ageph' 'lat' 'long' 'agecar' 'usec' 'coverp'],311162.0235229918
52,['ageph' 'lat' 'long' 'agecar' 'usec' 'powerc'],311142.4733496224
53,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc'],311267.543437305
54,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split'],311090.93752126175
55,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fleetc'],311233.5568397786
56,['ageph' 'lat' 'long' 'agecar' 'sexp' 'sportc'],311131.1145869137
57,['ageph' 'lat' 'long' 'agecar' 'sexp' 'coverp'],311172.378299188
58,['ageph' 'lat' 'long' 'agecar' 'sexp' 'powerc'],311129.44229370443
59,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split'],311165.92381711345
60,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'fleetc'],311314.1449377272
61,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'sportc'],311227.2747471869
62,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'coverp'],311224.1213031238
63,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'powerc'],311198.85407265194
64,['ageph' 'lat' 'long' 'agecar' 'split' 'fleetc'],311137.9871744569
65,['ageph' 'lat' 'long' 'agecar' 'split' 'sportc'],311040.19205050275
66,['ageph' 'lat' 'long' 'agecar' 'split' 'coverp'],311063.9866139979
67,['ageph' 'lat' 'long' 'agecar' 'split' 'powerc'],311026.2581840375
68,['ageph' 'lat' 'long' 'agecar' 'fleetc' 'sportc'],311190.32554973447
69,['ageph' 'lat' 'long' 'agecar' 'fleetc' 'coverp'],311191.1968627485
70,['ageph' 'lat' 'long' 'agecar' 'fleetc' 'powerc'],311166.81389335624
71,['ageph' 'lat' 'long' 'agecar' 'sportc' 'coverp'],311042.5412276044
72,['ageph' 'lat' 'long' 'agecar' 'sportc' 'powerc'],311117.1204079127
73,['ageph' 'lat' 'long' 'agecar' 'coverp' 'powerc'],311148.4327415176
74,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc'],311273.5635893928
75,['ageph' 'lat' 'long' 'usec' 'sexp' 'split'],311131.71234390786
76,['ageph' 'lat' 'long' 'usec' 'sexp' 'fleetc'],311246.61293190107
77,['ageph' 'lat' 'long' 'usec' 'sexp' 'sportc'],311137.8584891991
78,['ageph' 'lat' 'long' 'usec' 'sexp' 'coverp'],311193.467472713
79,['ageph' 'lat' 'long' 'usec' 'sexp' 'powerc'],311133.61349818646
80,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split'],311220.31405872625
81,['ageph' 'lat' 'long' 'usec' 'fuelc' 'fleetc'],311339.43674670224
82,['ageph' 'lat' 'long' 'usec' 'fuelc' 'sportc'],311244.4583748408
83,['ageph' 'lat' 'long' 'usec' 'fuelc' 'coverp'],311242.0544039916
84,['ageph' 'lat' 'long' 'usec' 'fuelc' 'powerc'],311210.0400443939
85,['ageph' 'lat' 'long' 'usec' 'split' 'fleetc'],311195.8366497356
86,['ageph' 'lat' 'long' 'usec' 'split' 'sportc'],311093.5584987424
87,['ageph' 'lat' 'long' 'usec' 'split' 'coverp'],311110.3405543673
88,['ageph' 'lat' 'long' 'usec' 'split' 'powerc'],311074.0974292906
89,['ageph' 'lat' 'long' 'usec' 'fleetc' 'sportc'],311218.4414034718
90,['ageph' 'lat' 'long' 'usec' 'fleetc' 'coverp'],311222.51662385353
91,['ageph' 'lat' 'long' 'usec' 'fleetc' 'powerc'],311186.6715429589
92,['ageph' 'lat' 'long' 'usec' 'sportc' 'coverp'],311045.1211017228
93,['ageph' 'lat' 'long' 'usec' 'sportc' 'powerc'],311134.3354087888
94,['ageph' 'lat' 'long' 'usec' 'coverp' 'powerc'],311170.5780552361
95,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split'],311179.0366774241
96,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'fleetc'],311296.79651614354
97,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'sportc'],311198.5259855702
98,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'coverp'],311251.867994671
99,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'powerc'],311184.70521408535
100,['ageph' 'lat' 'long' 'sexp' 'split' 'fleetc'],311146.2586045576
101,['ageph' 'lat' 'long' 'sexp' 'split' 'sportc'],311037.71970728954
102,['ageph' 'lat' 'long' 'sexp' 'split' 'coverp'],311110.3716774955
103,['ageph' 'lat' 'long' 'sexp' 'split' 'powerc'],311039.3763354602
104,['ageph' 'lat' 'long' 'sexp' 'fleetc' 'sportc'],311160.0011317207
105,['ageph' 'lat' 'long' 'sexp' 'fleetc' 'coverp'],311217.9935840215
106,['ageph' 'lat' 'long' 'sexp' 'fleetc' 'powerc'],311152.12008718355
107,['ageph' 'lat' 'long' 'sexp' 'sportc' 'coverp'],311038.2730637662
108,['ageph' 'lat' 'long' 'sexp' 'sportc' 'powerc'],311096.25049062626
109,['ageph' 'lat' 'long' 'sexp' 'coverp' 'powerc'],311181.6616189887
110,['ageph' 'lat' 'long' 'fuelc' 'split' 'fleetc'],311241.32694014
111,['ageph' 'lat' 'long' 'fuelc' 'split' 'sportc'],311147.26308765024
112,['ageph' 'lat' 'long' 'fuelc' 'split' 'coverp'],311159.3031220338
113,['ageph' 'lat' 'long' 'fuelc' 'split' 'powerc'],311117.2361750487
114,['ageph' 'lat' 'long' 'fuelc' 'fleetc' 'sportc'],311273.0424063496
115,['ageph' 'lat' 'long' 'fuelc' 'fleetc' 'coverp'],311271.9905417331
116,['ageph' 'lat' 'long' 'fuelc' 'fleetc' 'powerc'],311232.70210770355
117,['ageph' 'lat' 'long' 'fuelc' 'sportc' 'coverp'],311110.1147206034
118,['ageph' 'lat' 'long' 'fuelc' 'sportc' 'powerc'],311185.25356419425
119,['ageph' 'lat' 'long' 'fuelc' 'coverp' 'powerc'],311227.1348114817
120,['ageph' 'lat' 'long' 'split' 'fleetc' 'sportc'],311114.4995276708
121,['ageph' 'lat' 'long' 'split' 'fleetc' 'coverp'],311134.2618841784
122,['ageph' 'lat' 'long' 'split' 'fleetc' 'powerc'],311089.88133610203
123,['ageph' 'lat' 'long' 'split' 'sportc' 'coverp'],310950.85474513244
124,['ageph' 'lat' 'long' 'split' 'sportc' 'powerc'],311037.5120712755
125,['ageph' 'lat' 'long' 'split' 'coverp' 'powerc'],311087.4266887184
126,['ageph' 'lat' 'long' 'fleetc' 'sportc' 'coverp'],311077.01274243905
127,['ageph' 'lat' 'long' 'fleetc' 'sportc' 'powerc'],311158.27782740584
128,['ageph' 'lat' 'long' 'fleetc' 'coverp' 'powerc'],311197.8512872243
129,['ageph' 'lat' 'long' 'sportc' 'coverp' 'powerc'],311075.016274451
130,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc'],311227.8645629733
131,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'split'],311068.5404899913
132,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fleetc'],311209.5198246956
133,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'sportc'],311094.6488646997
134,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'coverp'],311130.6670320377
135,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'powerc'],311101.9957141172
136,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'split'],311136.3247171647
137,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'fleetc'],311282.640700527
138,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'sportc'],311183.86449660454
139,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'coverp'],311177.0547645174
140,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'powerc'],311167.5443377192
141,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'fleetc'],311119.9927146748
142,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'sportc'],311012.22337854584
143,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'coverp'],311033.8872742634
144,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'powerc'],311007.9878429125
145,['ageph' 'lat' 'long' 'agecar' 'usec' 'fleetc' 'sportc'],311160.8123047332
146,['ageph' 'lat' 'long' 'agecar' 'usec' 'fleetc' 'coverp'],311159.80378614017
147,['ageph' 'lat' 'long' 'agecar' 'usec' 'fleetc' 'powerc'],311144.36715963547
148,['ageph' 'lat' 'long' 'agecar' 'usec' 'sportc' 'coverp'],310995.0872629383
149,['ageph' 'lat' 'long' 'agecar' 'usec' 'sportc' 'powerc'],311083.58419303864
150,['ageph' 'lat' 'long' 'agecar' 'usec' 'coverp' 'powerc'],311110.01751047774
151,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split'],311107.6978392243
152,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'fleetc'],311254.6509785639
153,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'sportc'],311154.55517958157
154,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'coverp'],311186.49386574427
155,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'powerc'],311155.45832386037
156,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'fleetc'],311083.5741772371
157,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'sportc'],310971.0310209042
158,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'coverp'],311031.5338806248
159,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'powerc'],310984.22762122785
160,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fleetc' 'sportc'],311118.9612150956
161,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fleetc' 'coverp'],311156.0357497821
162,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fleetc' 'powerc'],311122.8741182391
163,['ageph' 'lat' 'long' 'agecar' 'sexp' 'sportc' 'coverp'],310990.21867031633
164,['ageph' 'lat' 'long' 'agecar' 'sexp' 'sportc' 'powerc'],311060.4722405947
165,['ageph' 'lat' 'long' 'agecar' 'sexp' 'coverp' 'powerc'],311120.1132072284
166,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'fleetc'],311158.7404615974
167,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'sportc'],311063.2689585488
168,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'coverp'],311078.56271835946
169,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'powerc'],311051.64308089094
170,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'fleetc' 'sportc'],311215.7403489884
171,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'fleetc' 'coverp'],311208.2332736278
172,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'fleetc' 'powerc'],311193.830401622
173,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'sportc' 'coverp'],311059.2475375489
174,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'sportc' 'powerc'],311141.7602691117
175,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'coverp' 'powerc'],311166.58460119605
176,['ageph' 'lat' 'long' 'agecar' 'split' 'fleetc' 'sportc'],311033.2605846672
177,['ageph' 'lat' 'long' 'agecar' 'split' 'fleetc' 'coverp'],311056.15198941616
178,['ageph' 'lat' 'long' 'agecar' 'split' 'fleetc' 'powerc'],311024.0882709171
179,['ageph' 'lat' 'long' 'agecar' 'split' 'sportc' 'coverp'],310889.5085342063
180,['ageph' 'lat' 'long' 'agecar' 'split' 'sportc' 'powerc'],310965.3749606424
181,['ageph' 'lat' 'long' 'agecar' 'split' 'coverp' 'powerc'],311011.9078697442
182,['ageph' 'lat' 'long' 'agecar' 'fleetc' 'sportc' 'coverp'],311027.25569329865
183,['ageph' 'lat' 'long' 'agecar' 'fleetc' 'sportc' 'powerc'],311110.2135380436
184,['ageph' 'lat' 'long' 'agecar' 'fleetc' 'coverp' 'powerc'],311137.811774581
185,['ageph' 'lat' 'long' 'agecar' 'sportc' 'coverp' 'powerc'],311023.62281571503
186,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'split'],311154.3914926096
187,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'fleetc'],311272.40922225843
188,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'sportc'],311164.0721712799
189,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'coverp'],311205.5130056617
190,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'powerc'],311160.8313320733
191,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'fleetc'],311131.86753104377
192,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'sportc'],311014.33255744906
193,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'coverp'],311078.94740341033
194,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'powerc'],311024.55141070136
195,['ageph' 'lat' 'long' 'usec' 'sexp' 'fleetc' 'sportc'],311137.3459781217
196,['ageph' 'lat' 'long' 'usec' 'sexp' 'fleetc' 'coverp'],311188.30720348575
197,['ageph' 'lat' 'long' 'usec' 'sexp' 'fleetc' 'powerc'],311135.4612152418
198,['ageph' 'lat' 'long' 'usec' 'sexp' 'sportc' 'coverp'],310992.8555339274
199,['ageph' 'lat' 'long' 'usec' 'sexp' 'sportc' 'powerc'],311070.24089371914
200,['ageph' 'lat' 'long' 'usec' 'sexp' 'coverp' 'powerc'],311143.54622359347
201,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'fleetc'],311221.2128183943
202,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'sportc'],311118.9743153695
203,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'coverp'],311123.39835724933
204,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'powerc'],311100.04864177643
205,['ageph' 'lat' 'long' 'usec' 'fuelc' 'fleetc' 'sportc'],311244.81022984535
206,['ageph' 'lat' 'long' 'usec' 'fuelc' 'fleetc' 'coverp'],311237.6636989866
207,['ageph' 'lat' 'long' 'usec' 'fuelc' 'fleetc' 'powerc'],311212.8761595474
208,['ageph' 'lat' 'long' 'usec' 'fuelc' 'sportc' 'coverp'],311061.070826611
209,['ageph' 'lat' 'long' 'usec' 'fuelc' 'sportc' 'powerc'],311157.9037026852
210,['ageph' 'lat' 'long' 'usec' 'fuelc' 'coverp' 'powerc'],311187.1768743898
211,['ageph' 'lat' 'long' 'usec' 'split' 'fleetc' 'sportc'],311094.87735768716
212,['ageph' 'lat' 'long' 'usec' 'split' 'fleetc' 'coverp'],311110.35513214517
213,['ageph' 'lat' 'long' 'usec' 'split' 'fleetc' 'powerc'],311077.24280198704
214,['ageph' 'lat' 'long' 'usec' 'split' 'sportc' 'coverp'],310914.3230712342
215,['ageph' 'lat' 'long' 'usec' 'split' 'sportc' 'powerc'],311017.8412472263
216,['ageph' 'lat' 'long' 'usec' 'split' 'coverp' 'powerc'],311059.04788683535
217,['ageph' 'lat' 'long' 'usec' 'fleetc' 'sportc' 'coverp'],311042.2713195779
