,predictor,AIC
0,fuelc,38900.016215017204
1,fuelc,38889.72039332567
2,fuelc,38898.384887446926
3,fuelc,38887.18539616065
4,['ageph' 'lat' 'long' 'split'],38785.52641461509
5,['ageph' 'lat' 'long' 'fleetc'],38899.31479027743
6,['ageph' 'lat' 'long' 'sportc'],38901.70508853867
7,['ageph' 'lat' 'long' 'coverp'],38879.24604808849
8,['ageph' 'lat' 'long' 'powerc'],38900.70154311774
9,['ageph' 'lat' 'long' 'agecar' 'sexp'],38888.42535134551
10,['ageph' 'lat' 'long' 'agecar' 'fuelc'],38874.940615126536
11,['ageph' 'lat' 'long' 'agecar' 'split'],38777.07553833444
12,['ageph' 'lat' 'long' 'agecar' 'fleetc'],38889.28693918513
13,['ageph' 'lat' 'long' 'agecar' 'sportc'],38891.408326207915
14,['ageph' 'lat' 'long' 'agecar' 'coverp'],38872.84936430109
15,['ageph' 'lat' 'long' 'agecar' 'powerc'],38889.20655894254
16,['ageph' 'lat' 'long' 'sexp' 'fuelc'],38883.44782524696
17,['ageph' 'lat' 'long' 'sexp' 'split'],38784.10670077894
18,['ageph' 'lat' 'long' 'sexp' 'fleetc'],38897.54829622664
19,['ageph' 'lat' 'long' 'sexp' 'sportc'],38900.14359491292
20,['ageph' 'lat' 'long' 'sexp' 'coverp'],38877.84255989179
21,['ageph' 'lat' 'long' 'sexp' 'powerc'],38898.01345622914
22,['ageph' 'lat' 'long' 'fuelc' 'split'],38772.66735314381
23,['ageph' 'lat' 'long' 'fuelc' 'fleetc'],38886.42640791887
24,['ageph' 'lat' 'long' 'fuelc' 'sportc'],38889.105683788715
25,['ageph' 'lat' 'long' 'fuelc' 'coverp'],38863.45067615117
26,['ageph' 'lat' 'long' 'fuelc' 'powerc'],38885.907006031586
27,['ageph' 'lat' 'long' 'split' 'fleetc'],38786.42278154829
28,['ageph' 'lat' 'long' 'split' 'sportc'],38787.29920620844
29,['ageph' 'lat' 'long' 'split' 'coverp'],38761.41720920476
30,['ageph' 'lat' 'long' 'split' 'powerc'],38786.1679603637
31,['ageph' 'lat' 'long' 'fleetc' 'sportc'],38901.02226035898
32,['ageph' 'lat' 'long' 'fleetc' 'coverp'],38879.62300726343
33,['ageph' 'lat' 'long' 'fleetc' 'powerc'],38899.842852610636
