,predictor,BIC
0,sexp,311486.99193273514
1,sexp,311461.85117490654
2,sexp,311455.49635823676
3,sexp,311424.5235824451
4,['ageph' 'lat' 'long' 'fuelc'],311522.0871661198
5,['ageph' 'lat' 'long' 'split'],311379.86689767195
6,['ageph' 'lat' 'long' 'fleetc'],311481.30387964833
7,['ageph' 'lat' 'long' 'sportc'],311400.4081011417
8,['ageph' 'lat' 'long' 'coverp'],311426.4261947175
9,['ageph' 'lat' 'long' 'powerc'],311361.29760551726
10,['ageph' 'lat' 'long' 'agecar' 'usec'],311428.0713553327
11,['ageph' 'lat' 'long' 'agecar' 'sexp'],311412.60044473765
12,['ageph' 'lat' 'long' 'agecar' 'fuelc'],311492.8319412041
13,['ageph' 'lat' 'long' 'agecar' 'split'],311326.6457478116
14,['ageph' 'lat' 'long' 'agecar' 'fleetc'],311456.00008816185
15,['ageph' 'lat' 'long' 'agecar' 'sportc'],311368.6422838554
16,['ageph' 'lat' 'long' 'agecar' 'coverp'],311381.109158404
17,['ageph' 'lat' 'long' 'agecar' 'powerc'],311346.6806605167
18,['ageph' 'lat' 'long' 'usec' 'sexp'],311398.2017021398
19,['ageph' 'lat' 'long' 'usec' 'fuelc'],311490.1332695243
20,['ageph' 'lat' 'long' 'usec' 'split'],311360.6641691935
21,['ageph' 'lat' 'long' 'usec' 'fleetc'],311462.1690250872
22,['ageph' 'lat' 'long' 'usec' 'sportc'],311368.5806778565
23,['ageph' 'lat' 'long' 'usec' 'coverp'],311384.9138946825
24,['ageph' 'lat' 'long' 'usec' 'powerc'],311342.1718796381
25,['ageph' 'lat' 'long' 'sexp' 'fuelc'],311459.31166319805
26,['ageph' 'lat' 'long' 'sexp' 'split'],311320.00171880436
27,['ageph' 'lat' 'long' 'sexp' 'fleetc'],311419.0224567264
28,['ageph' 'lat' 'long' 'sexp' 'sportc'],311322.0239259294
29,['ageph' 'lat' 'long' 'sexp' 'coverp'],311396.3626422922
30,['ageph' 'lat' 'long' 'sexp' 'powerc'],311315.5038229734
31,['ageph' 'lat' 'long' 'fuelc' 'split'],311413.9667278904
32,['ageph' 'lat' 'long' 'fuelc' 'fleetc'],311517.7443359371
33,['ageph' 'lat' 'long' 'fuelc' 'sportc'],311433.4652304924
34,['ageph' 'lat' 'long' 'fuelc' 'coverp'],311449.5805077235
35,['ageph' 'lat' 'long' 'fuelc' 'powerc'],311393.68481461424
36,['ageph' 'lat' 'long' 'split' 'fleetc'],311379.64714230975
37,['ageph' 'lat' 'long' 'split' 'sportc'],311287.1033912045
38,['ageph' 'lat' 'long' 'split' 'coverp'],311318.4279589446
39,['ageph' 'lat' 'long' 'split' 'powerc'],311264.70032397815
40,['ageph' 'lat' 'long' 'fleetc' 'sportc'],311396.1599791693
41,['ageph' 'lat' 'long' 'fleetc' 'coverp'],311413.4368185034
42,['ageph' 'lat' 'long' 'fleetc' 'powerc'],311364.1815407684
43,['ageph' 'lat' 'long' 'sportc' 'coverp'],311253.16848104354
44,['ageph' 'lat' 'long' 'sportc' 'powerc'],311321.5276131833
45,['ageph' 'lat' 'long' 'coverp' 'powerc'],311377.07975779474
46,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp'],311383.98232794984
47,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc'],311456.611099038
48,['ageph' 'lat' 'long' 'agecar' 'usec' 'split'],311307.8850263741
49,['ageph' 'lat' 'long' 'agecar' 'usec' 'fleetc'],311435.1390522792
50,['ageph' 'lat' 'long' 'agecar' 'usec' 'sportc'],311334.2856599381
51,['ageph' 'lat' 'long' 'agecar' 'usec' 'coverp'],311343.04167580704
52,['ageph' 'lat' 'long' 'agecar' 'usec' 'powerc'],311323.8266164289
53,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc'],311441.1870488852
54,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split'],311280.0186004263
55,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fleetc'],311407.17860777845
56,['ageph' 'lat' 'long' 'agecar' 'sexp' 'sportc'],311304.73598753946
57,['ageph' 'lat' 'long' 'agecar' 'sexp' 'coverp'],311353.49481321394
58,['ageph' 'lat' 'long' 'agecar' 'sexp' 'powerc'],311310.90223646717
59,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split'],311354.91279255255
60,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'fleetc'],311487.6852780993
61,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'sportc'],311400.79475397576
62,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'coverp'],311405.173773955
63,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'powerc'],311380.24818648974
64,['ageph' 'lat' 'long' 'agecar' 'split' 'fleetc'],311326.9961038093
65,['ageph' 'lat' 'long' 'agecar' 'split' 'sportc'],311229.1989734691
66,['ageph' 'lat' 'long' 'agecar' 'split' 'coverp'],311260.5509782028
67,['ageph' 'lat' 'long' 'agecar' 'split' 'powerc'],311223.0848067963
68,['ageph' 'lat' 'long' 'agecar' 'fleetc' 'sportc'],311363.86575587175
69,['ageph' 'lat' 'long' 'agecar' 'fleetc' 'coverp'],311372.22161262896
70,['ageph' 'lat' 'long' 'agecar' 'fleetc' 'powerc'],311348.14381222386
71,['ageph' 'lat' 'long' 'agecar' 'sportc' 'coverp'],311223.58491256484
72,['ageph' 'lat' 'long' 'agecar' 'sportc' 'powerc'],311298.6990900742
73,['ageph' 'lat' 'long' 'agecar' 'coverp' 'powerc'],311337.2621886945
74,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc'],311431.53888982284
75,['ageph' 'lat' 'long' 'usec' 'sexp' 'split'],311305.08148111874
76,['ageph' 'lat' 'long' 'usec' 'sexp' 'fleetc'],311404.42849897133
77,['ageph' 'lat' 'long' 'usec' 'sexp' 'sportc'],311295.82203981845
78,['ageph' 'lat' 'long' 'usec' 'sexp' 'coverp'],311359.08257061883
79,['ageph' 'lat' 'long' 'usec' 'sexp' 'powerc'],311299.38533233636
80,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split'],311393.57393450727
81,['ageph' 'lat' 'long' 'usec' 'fuelc' 'fleetc'],311497.1562213204
82,['ageph' 'lat' 'long' 'usec' 'fuelc' 'sportc'],311402.30295903643
83,['ageph' 'lat' 'long' 'usec' 'fuelc' 'coverp'],311407.5808651551
84,['ageph' 'lat' 'long' 'usec' 'fuelc' 'powerc'],311375.72165153275
85,['ageph' 'lat' 'long' 'usec' 'split' 'fleetc'],311368.9888826412
86,['ageph' 'lat' 'long' 'usec' 'split' 'sportc'],311266.8563173011
87,['ageph' 'lat' 'long' 'usec' 'split' 'coverp'],311291.38759268256
88,['ageph' 'lat' 'long' 'usec' 'split' 'powerc'],311255.1901760404
89,['ageph' 'lat' 'long' 'usec' 'fleetc' 'sportc'],311376.1737279178
90,['ageph' 'lat' 'long' 'usec' 'fleetc' 'coverp'],311387.902702281
91,['ageph' 'lat' 'long' 'usec' 'fleetc' 'powerc'],311352.1788066563
